order_id,customer_id,order_date,order_status,total_amount
1,576,Apr 28 2026,completed,3529.35
2,135,23-03-2025,completed,1040.67
3,498,25-04-2026,completed,524.6
4,37,04/21/2026,completed,2611.56
5,214,Aug 16 2025,cancelled,0.0
6,580,10/30/2025,completed,6655.55
7,215,Mar 21 2025,completed,1214.34
8,135,Jan 08 2026,completed,6281.59
9,832,Mar 19 2026,completed,848.43
10,811,30-12-2025,completed,17729.42
11,955,08-05-2025,completed,4707.47
12,233,08-01-2025,pending,2796.69
13,679,08/12/2025,completed,339.8
14,883,2026-02-14,completed,3219.92
15,219,03-09-2025,completed,171.54
16,235,09/07/2025,completed,1400.72
17,850,Feb 19 2026,ok,5497.62
18,813,Mar 01 2026,pending,48830.25
19,665,2025-12-27,completed,5593.13
20,388,Dec 06 2025,done,981.18
21,104,07/15/2025,pending,857.35
22,305,2025-03-03,cancelled,0.0
23,925,05/01/2025,completed,14607.63
24,688,04/07/2026,cancelled,0.0
25,418,24/02/2025,cancelled,0.0
26,954,04/25/2026,completed,640.18
27,308,01/04/2026,completed,881.34
28,854,2025-05-10,completed,121063.84
29,408,2025-08-07,returned,3622.23
30,629,2025-09-12,completed,4393.34
31,241,Feb 11 2025,completed,2093.19
32,3,Aug 24 2025,completed,1613.62
33,421,15-10-2025,completed,1225.84
34,236,01/11/2025,cancelled,0.0
35,103,2026-01-21,completed,359.36
36,369,25-10-2025,returned,3644.15
37,188,29-10-2025,completed,1053.49
38,888,17/01/2025,completed,6192.68
39,569,10-08-2025,done,2467.99
40,306,09/12/2025,completed,36087.26
41,419,04/02/2025,completed,6243.72
42,332,16-05-2026,completed,820.0
43,646,22-07-2025,done,51669.04
44,990,03/02/2026,pending,3472.3
45,787,2025-04-29,cancelled,0.0
46,350,13/03/2026,pending,2221.87
47,156,30/10/2025,completed,756.11
48,532,Mar 14 2026,completed,5532.84
49,217,20/05/2025,completed,1121.77
50,266,02-02-2025,completed,7736.74
51,659,28/09/2025,completed,4448.38
52,179,05-01-2026,returned,812.56
53,524,03/07/2025,completed,3305.26
54,865,2025-07-07,completed,1612.61
55,405,2025-01-21,completed,10202.05
56,29,Mar 20 2025,completed,8912.45
57,757,2025-11-11,completed,8099.99
58,991,17/03/2026,done,3452.41
59,511,2025-07-20,completed,4251.71
60,897,2025-01-23,cancelled,0.0
61,574,04-03-2026,completed,1178.68
62,885,23/11/2025,completed,9893.84
63,582,Nov 18 2025,completed,140.72
64,216,05/03/2025,completed,1202.9
65,441,Aug 08 2025,Annulé,299.82
66,851,12/04/2026,completed,2181.69
67,996,May 15 2026,DONE,120.59
68,422,24-05-2025,cancelled,0.0
69,896,Jun 07 2025,completed,621.69
70,997,31-08-2025,completed,409941.1
71,389,2025-10-30,completed,1133.69
72,724,2026-03-29,completed,4430.48
73,899,08-09-2025,completed,3312.83
74,841,06/02/2026,completed,635.24
75,961,08/23/2025,completed,166.59
76,349,2026-02-28,completed,7173.26
77,228,09/05/2026,completed,7541.5
78,144,2025-09-28,cancelled,0.0
79,859,Oct 31 2025,completed,587.77
80,302,Feb 08 2026,completed,145.74
81,164,2026-01-02,completed,1789.34
82,227,05/26/2025,completed,417.18
83,590,05/03/2025,returned,7046.19
84,783,01/13/2026,completed,7638.06
85,252,31-07-2025,completed,914.07
86,392,16/02/2025,completed,280.44
87,769,2025-09-25,done,713.35
88,684,05/04/2025,returned,41783.67
89,789,01/16/2026,ok,151.66
90,577,15-03-2025,completed,501.48
91,413,08/04/2025,pending,844.52
92,235,Jan 28 2026,returned,685.94
93,86,02/18/2026,completed,1611.29
94,52,11-02-2026,completed,3681.09
95,524,Nov 02 2025,completed,3397.39
96,621,Jan 30 2025,pending,58708.9
97,968,17/12/2025,completed,3401.0
98,462,Feb 15 2026,completed,10362.75
99,904,06/07/2025,completed,5459.78
100,528,04/08/2025,done,2013.9
101,800,06-04-2025,done,1373.05
102,878,Jan 14 2025,completed,3949.56
103,595,Mar 13 2025,ok,76749.94
104,946,Apr 04 2026,completed,1096.54
105,4,21/03/2026,completed,5251.86
106,444,01/04/2025,completed,3880.94
107,433,04/12/2025,return,59565.27
108,81,2025-12-13,return,8483.15
109,117,13/10/2025,completed,257.05
110,102,09/01/2025,completed,11455.27
111,727,Mar 08 2026,completed,2633.8
112,489,25-03-2026,cancelled,0.0
113,767,26-09-2025,completed,3345.33
114,273,03/01/2026,done,4262.55
115,953,2025-01-07,done,844.08
116,505,08/06/2025,completed,581.44
117,835,05/09/2025,cancelled,0.0
118,79,16-03-2025,completed,6317.81
119,192,Jun 03 2025,cancelled,0.0
120,153,14/05/2025,pending,3988.75
121,327,14/12/2025,pending,53930.9
122,681,Mar 01 2025,completed,2367.29
123,813,01/04/2025,completed,1283.54
124,713,2025-12-12,completed,236.95
125,656,26/02/2025,returned,5988.69
126,459,2025-09-11,completed,2245.07
127,712,May 05 2026,completed,0.0
128,210,2025-10-18,completed,65609.43
129,117,16-04-2026,completed,41047.17
130,910,15/08/2025,completed,41671.61
131,762,16-12-2025,pending,63.62
132,638,2025-04-25,Annulé,624.97
133,621,2026-05-10,completed,4581.92
134,243,03/29/2025,cancelled,0.0
135,811,2025-05-10,completed,538.26
136,628,Nov 22 2025,pending,973.41
137,682,2025-01-25,cancelled,0.0
138,773,Sep 23 2025,completed,3740.75
139,952,04/29/2025,completed,20667.41
140,461,22/01/2026,pending,2815.26
141,89,02/02/2025,returned,2568.38
142,55,20/07/2025,completed,3802.25
143,251,03/17/2026,completed,278.82
144,531,03/18/2026,ok,5191.36
145,375,Jan 12 2026,completed,143.08
146,772,09-01-2025,completed,592.27
147,416,Feb 10 2026,completed,16142.81
148,584,02-02-2025,completed,32001.03
149,856,11/30/2025,completed,5604.13
150,796,20/03/2026,ok,12058.91
151,973,Feb 13 2025,completed,17219.91
152,591,07/10/2025,completed,2005.61
153,684,05/04/2026,cancelled,0.0
154,205,01/21/2026,pending,258.7
155,33,20-05-2026,returned,13077.02
156,742,25-12-2025,completed,7298.05
157,634,04/16/2026,returned,4806.98
158,751,31-01-2025,completed,1250.52
159,524,Jan 28 2025,completed,6053.4
160,53,08-04-2026,completed,82.7
161,894,Nov 10 2025,completed,12052.56
162,42,02-11-2025,pending,6444.82
163,1000,2025-04-22,pending,465.16
164,376,Mar 26 2026,completed,3256.02
165,328,30/11/2025,completed,1019.05
166,527,08/16/2025,completed,8289.08
167,485,Mar 31 2026,Annulé,585.04
168,575,29-01-2026,completed,1227.61
169,422,03/27/2025,completed,2864.27
170,11,Nov 14 2025,completed,32627.44
171,616,10/30/2025,completed,1866.98
172,230,2025-01-03,completed,2615.55
173,896,2025-11-07,completed,64069.47
174,233,2026-03-06,completed,1003.0
175,592,Oct 27 2025,done,171.0
176,638,15/12/2025,done,72163.59
177,503,08-09-2025,returned,180.61
178,542,03/14/2025,OK,175.0
179,155,04/21/2026,completed,2095.48
180,463,2026-04-24,completed,37188.13
181,498,07/08/2025,completed,1325.02
182,514,16-04-2025,completed,8299.42
183,572,2026-03-30,completed,3122.58
184,264,Oct 04 2025,completed,691.5
