return_id,order_id,product_id,return_reason,return_date,refund_amount
1,4889,147,Wrong item,2025-05-26,7266.21
2,593,282,Customer changed mind,11-07-2025,3470.17
3,1237,117,Wrong item,05/20/2025,370.9
4,34,236,Quality issue,05-04-2025,146.64
5,2370,109,Wrong item,03-05-2026,909.46
6,1157,167,Late delivery,2025-10-28,787.78
7,1451,184,Wrong item,22-05-2025,984.73
8,704,35,Customer changed mind,12/18/2025,5260.7
9,3946,217,Late delivery,11/11/2025,4924.72
10,4160,137,Damaged product,09-02-2026,3749.54
11,1323,129,Late delivery,2025-12-10,29679.77
12,790,63,Late delivery,02-09-2025,936.3
13,409,48,Late delivery,09/02/2025,217.2
14,4514,76,Customer changed mind,27-02-2025,300.75
15,959,147,Late delivery,26/04/2026,3590.94
16,3605,84,Customer changed mind,Mar 26 2025,5168.1
17,2985,198,Late delivery,Jan 22 2026,512.95
18,1313,217,Wrong item,03/30/2026,0.0
19,4356,190,Customer changed mind,2025-03-09,74.49
20,3213,154,Late delivery,2026-03-22,4725.2
21,139,132,Damaged product,21-04-2026,20603.66
22,2352,279,Quality issue,02-05-2025,1042.96
23,212,96,Damaged product,29/09/2025,192.18
24,4193,259,Customer changed mind,11-02-2025,363.73
25,894,193,Wrong item,09/09/2025,24068.05
26,3867,4,Damaged product,Apr 09 2026,0
27,1552,31,Wrong item,28/01/2025,216.75
28,122,45,Late delivery,07/22/2025,751.97
29,3572,234,Damaged product,Jul 01 2025,801.98
30,10,217,Late delivery,03/16/2026,2300.33
31,4722,168,Customer changed mind,03/05/2026,3579.87
32,4347,20,Wrong item,06/08/2025,6700.14
33,1164,254,Late delivery,2025-06-17,47.66
34,652,65,Late delivery,07-04-2026,13641.36
35,1540,226,Damaged product,04-09-2025,54789.16
36,1684,249,Late delivery,Apr 29 2025,4089.6
37,204,165,Damaged product,2025-01-17,383.8
38,1177,107,Damaged product,31/10/2025,204.71
39,2711,63,Damaged product,2026-02-05,483.37
40,4739,236,Damaged product,2026-05-15,255.42
41,1354,185,Wrong item,28/07/2025,658.66
42,547,211,Customer changed mind,Feb 10 2026,3982.6
43,4361,122,Late delivery,May 10 2026,0
44,794,194,Wrong item,2025-08-21,39442.46
45,4584,234,Late delivery,2025-12-22,2745.8
46,2048,83,Customer changed mind,26/04/2025,3370.38
47,3909,200,Quality issue,05-12-2025,2643.06
48,4748,67,Quality issue,May 24 2025,6661.69
