sales_key,order_id,order_item_id,customer_key,product_key,date_key,region_key,payment_key,delivery_key,quantity,unit_price,discount_rate,total_amount,amount_paid,is_returned,refund_amount,delivery_delay_days,order_status,return_reason
1,1,1,576,185,20260428,10,2,77,5,625.24,0.2,2500.96,2500.96,0,0.0,6,completed,
2,1,2,576,55,20260428,10,2,77,1,486.28,0.05,461.97,461.97,0,0.0,6,completed,
3,1,3,576,87,20260428,10,2,77,2,314.68,0.1,566.42,566.42,0,0.0,6,completed,
4,2,4,135,261,20250323,11,2,137,4,273.86,0.05,1040.67,1040.67,0,0.0,11,completed,
5,3,5,498,12,20260425,11,6,155,1,297.05,0.1,267.35,267.35,0,0.0,8,completed,
6,3,6,498,79,20260425,11,6,155,5,51.45,0.0,257.25,257.25,0,0.0,8,completed,
7,4,7,37,166,20260421,11,6,246,3,720.75,0.03,2097.38,2097.38,0,0.0,7,completed,
8,4,8,37,206,20260421,11,6,246,4,160.68,0.2,514.18,514.18,0,0.0,7,completed,
9,5,10,214,151,20250816,11,10,117,3,293.07,0.1,791.29,0.0,0,0.0,7,cancelled,
10,5,11,214,87,20250816,11,10,117,1,333.82,0.05,317.13,0.0,0,0.0,7,cancelled,
11,6,12,580,6,20251030,11,12,117,5,1479.01,0.1,6655.55,3975.0,0,0.0,3,completed,
12,7,13,215,251,20250321,3,6,129,5,255.65,0.05,1214.34,1214.34,0,0.0,4,completed,
13,8,14,135,97,20260108,3,1,109,1,5646.46,0.03,5477.07,1514.49,0,0.0,7,completed,
14,8,15,135,189,20260108,3,1,109,2,192.52,0.2,308.03,85.17,1,308.03,7,completed,Damaged product
15,8,16,135,263,20260108,3,1,109,2,261.31,0.05,496.49,137.29,0,0.0,7,completed,
16,9,17,832,268,20260319,6,15,73,2,471.35,0.1,848.43,848.43,0,0.0,5,completed,
17,10,18,811,217,20251230,4,15,17,2,1277.96,0.1,2300.33,2300.33,1,2300.33,61,completed,Late delivery
18,10,19,811,146,20251230,4,15,17,1,15906.28,0.03,15429.09,15429.09,0,0.0,61,completed,
19,11,20,955,40,20250508,9,2,229,4,1384.55,0.15,4707.47,4707.47,1,4707.47,10,completed,Customer changed mind
20,12,21,233,83,20250108,11,15,204,2,1645.11,0.15,2796.69,2796.69,1,2796.69,3,pending,Customer changed mind
21,13,22,679,286,20251208,3,3,109,5,67.96,0.0,339.8,0.0,0,0.0,4,completed,
22,14,23,883,222,20260214,11,6,155,5,22.25,0.05,105.69,105.69,0,0.0,9,completed,
23,14,24,883,147,20260214,11,6,155,2,1730.13,0.1,3114.23,3114.23,0,0.0,9,completed,
24,15,25,219,59,20250903,11,6,117,3,58.95,0.03,171.54,171.54,0,0.0,6,completed,
