table_name,record_id,issue_type,action,details
customers,4,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,9,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,17,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,17,missing_city,corrected,Ville remplacée par Unknown.
customers,22,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,68,missing_city,corrected,Ville remplacée par Unknown.
customers,71,missing_city,corrected,Ville remplacée par Unknown.
customers,79,missing_city,corrected,Ville remplacée par Unknown.
customers,90,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,94,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,115,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,118,missing_city,corrected,Ville remplacée par Unknown.
customers,124,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,131,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,137,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,144,missing_city,corrected,Ville remplacée par Unknown.
customers,159,missing_city,corrected,Ville remplacée par Unknown.
customers,164,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,164,missing_city,corrected,Ville remplacée par Unknown.
customers,166,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,202,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,210,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,227,missing_city,corrected,Ville remplacée par Unknown.
customers,247,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,258,missing_city,corrected,Ville remplacée par Unknown.
customers,260,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,260,missing_city,corrected,Ville remplacée par Unknown.
customers,263,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,264,missing_city,corrected,Ville remplacée par Unknown.
customers,267,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,268,missing_city,corrected,Ville remplacée par Unknown.
customers,268,missing_region,corrected,Région remplacée par Unknown.
customers,269,missing_city,corrected,Ville remplacée par Unknown.
customers,289,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,293,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,294,missing_city,corrected,Ville remplacée par Unknown.
customers,296,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,303,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,305,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,313,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,316,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,318,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,319,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,323,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,328,missing_city,corrected,Ville remplacée par Unknown.
customers,333,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,334,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,346,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,352,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,359,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,364,missing_city,corrected,Ville remplacée par Unknown.
customers,367,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,380,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,392,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,402,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,418,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,421,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,426,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,432,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,437,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,445,missing_city,corrected,Ville remplacée par Unknown.
customers,447,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,455,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,455,missing_city,corrected,Ville remplacée par Unknown.
customers,458,missing_city,corrected,Ville remplacée par Unknown.
customers,478,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,494,missing_city,corrected,Ville remplacée par Unknown.
customers,495,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,496,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,504,missing_city,corrected,Ville remplacée par Unknown.
customers,507,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,512,missing_city,corrected,Ville remplacée par Unknown.
customers,515,missing_city,corrected,Ville remplacée par Unknown.
customers,530,missing_city,corrected,Ville remplacée par Unknown.
customers,557,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,559,missing_city,corrected,Ville remplacée par Unknown.
customers,560,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,568,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,577,missing_city,corrected,Ville remplacée par Unknown.
customers,578,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,592,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,595,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,603,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,604,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,615,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,622,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,625,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,634,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,635,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,640,missing_city,corrected,Ville remplacée par Unknown.
customers,662,missing_city,corrected,Ville remplacée par Unknown.
customers,665,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,666,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,675,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,680,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,685,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,689,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,692,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,695,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,709,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,729,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,737,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,740,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,764,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,774,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,781,missing_city,corrected,Ville remplacée par Unknown.
customers,803,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,805,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,816,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,821,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,821,missing_city,corrected,Ville remplacée par Unknown.
customers,822,missing_city,corrected,Ville remplacée par Unknown.
customers,831,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,832,missing_city,corrected,Ville remplacée par Unknown.
customers,834,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,834,missing_city,corrected,Ville remplacée par Unknown.
customers,839,missing_city,corrected,Ville remplacée par Unknown.
customers,840,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,841,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,848,missing_city,corrected,Ville remplacée par Unknown.
customers,850,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,856,missing_city,corrected,Ville remplacée par Unknown.
customers,857,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,864,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,867,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,908,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,924,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,925,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,935,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,935,missing_city,corrected,Ville remplacée par Unknown.
customers,936,missing_city,corrected,Ville remplacée par Unknown.
customers,945,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,946,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,948,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,953,missing_city,corrected,Ville remplacée par Unknown.
customers,954,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,955,missing_city,corrected,Ville remplacée par Unknown.
customers,961,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,962,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,963,missing_city,corrected,Ville remplacée par Unknown.
customers,971,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,976,missing_or_invalid_email,corrected,Email remplacé par une valeur technique.
customers,978,missing_city,corrected,Ville remplacée par Unknown.
customers,980,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
customers,985,duplicate_email,corrected,Email dupliqué remplacé par une valeur unique.
products,35,invalid_catalog_price,corrected,Prix catalogue négatif ou aberrant corrigé par la médiane de catégorie.
products,63,invalid_catalog_price,corrected,Prix catalogue négatif ou aberrant corrigé par la médiane de catégorie.
products,153,invalid_catalog_price,corrected,Prix catalogue négatif ou aberrant corrigé par la médiane de catégorie.
products,169,invalid_catalog_price,corrected,Prix catalogue négatif ou aberrant corrigé par la médiane de catégorie.
products,227,invalid_catalog_price,corrected,Prix catalogue négatif ou aberrant corrigé par la médiane de catégorie.
order_items,9,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,32,invalid_quantity,removed,Quantité <= 0.
order_items,47,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,51,invalid_quantity,removed,Quantité <= 0.
order_items,61,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,125,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,210,invalid_quantity,removed,Quantité <= 0.
order_items,214,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,227,invalid_quantity,removed,Quantité <= 0.
order_items,228,invalid_quantity,removed,Quantité <= 0.
order_items,360,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,393,invalid_quantity,removed,Quantité <= 0.
order_items,396,invalid_quantity,removed,Quantité <= 0.
order_items,406,invalid_quantity,removed,Quantité <= 0.
order_items,467,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,490,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,516,invalid_quantity,removed,Quantité <= 0.
order_items,517,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,529,invalid_quantity,removed,Quantité <= 0.
order_items,535,invalid_quantity,removed,Quantité <= 0.
order_items,550,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,551,invalid_quantity,removed,Quantité <= 0.
order_items,552,invalid_quantity,removed,Quantité <= 0.
order_items,572,invalid_quantity,removed,Quantité <= 0.
order_items,652,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,665,invalid_quantity,removed,Quantité <= 0.
order_items,731,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,740,invalid_quantity,removed,Quantité <= 0.
order_items,746,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,752,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,758,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,759,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,766,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,803,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,868,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,882,invalid_quantity,removed,Quantité <= 0.
order_items,909,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,930,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1005,invalid_quantity,removed,Quantité <= 0.
order_items,1038,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1072,invalid_quantity,removed,Quantité <= 0.
order_items,1081,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1086,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1097,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1122,invalid_quantity,removed,Quantité <= 0.
order_items,1145,invalid_quantity,removed,Quantité <= 0.
order_items,1155,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1156,invalid_quantity,removed,Quantité <= 0.
order_items,1168,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1215,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1256,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1274,invalid_quantity,removed,Quantité <= 0.
order_items,1286,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1295,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1297,invalid_quantity,removed,Quantité <= 0.
order_items,1311,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1324,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1330,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1395,invalid_quantity,removed,Quantité <= 0.
order_items,1496,invalid_quantity,removed,Quantité <= 0.
order_items,1506,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1529,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1605,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1632,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1648,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1673,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1691,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1701,invalid_quantity,removed,Quantité <= 0.
order_items,1726,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1740,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1774,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1785,invalid_quantity,removed,Quantité <= 0.
order_items,1789,invalid_quantity,removed,Quantité <= 0.
order_items,1793,invalid_quantity,removed,Quantité <= 0.
order_items,1805,invalid_quantity,removed,Quantité <= 0.
order_items,1937,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1964,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,1996,invalid_quantity,removed,Quantité <= 0.
order_items,2017,invalid_quantity,removed,Quantité <= 0.
order_items,2039,invalid_quantity,removed,Quantité <= 0.
order_items,2045,invalid_quantity,removed,Quantité <= 0.
order_items,2057,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2059,invalid_quantity,removed,Quantité <= 0.
order_items,2085,invalid_quantity,removed,Quantité <= 0.
order_items,2086,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2201,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2262,invalid_quantity,removed,Quantité <= 0.
