delivery_id,order_id,delivery_city,delivery_region,delivery_status,shipping_company,shipped_date,delivered_date
1,1,rabat,Rabat-Salé-Kénitra,delivered,Amana Express,2026-04-29,2026-05-04
2,2,Tangier,Tanger-Tétouan-Al Hoceïma,livré,Jibli,2025-03-26,2025-04-03
3,3,TANGER,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2026-04-26,2026-05-03
4,4,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Amana Express,2026-04-21,2026-04-28
5,5,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-08-19,2025-08-23
6,6,tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-10-31,2025-11-02
7,7,Casablanca,Casa Settat,delivered,Jibli,2025-03-22,2025-03-25
8,8,Casablanca,Casa Settat,delivered,Barid Logistics,2026-10-01,2026-01-15
9,9,Marrakech,Marrakech-Safi,delivered,Amana Express,2026-03-19,2026-03-24
10,10,Fès,Fès-Meknès,delayed,AtlasShip,2025-12-31,2026-03-01
11,11,Oujda,Oriental,failed,Tanger Delivery,2025-05-10,2025-05-18
12,12,Tnja,Tanger Tetouan,failed,Barid Logistics,2025-01-10,2025-01-11
13,13,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2025-08-12,2025-08-19
14,14,Tanger,Tanger-Tétouan-Al Hoceïma,Livré,Tanger Delivery,2026-02-15,2026-02-23
15,15,Tanger,Tanger-Tétouan-Al Hoceima,delivered,Barid Logistics,2025-09-05,2025-09-09
16,16,Marrakech,Marrakech-Safi,Livré,Amana Express,2025-07-09,2025-11-07
17,17,CASABLANCA,Casablanca-Settat,delivered,Tanger Delivery,2026-02-22,2026-02-28
18,18,Rabat,Rabat-Salé-Kénitra,delivered,Amana Express,2026-03-04,2026-03-12
19,19,casa,Casa Settat,delivered,Amana Express,2025-12-30,2025-12-31
20,20,Tétouan,,delivered,Jibli,2025-09-12,2025-12-13
