order_item_id,order_id,product_id,quantity,unit_price,discount_rate
1,1,185,5,625.24,0.2000
2,1,55,1,486.28,0.0500
3,1,87,2,314.68,0.1000
4,2,261,4,273.86,0.0500
5,3,12,1,297.05,0.1000
6,3,79,5,51.45,0.0000
7,4,166,3,720.75,0.0300
8,4,206,4,160.68,0.2000
9,5,17,1,115194.50,0.2000
10,5,151,3,293.07,0.1000
11,5,87,1,333.82,0.0500
12,6,6,5,1479.01,0.1000
13,7,251,5,255.65,0.0500
14,8,97,1,5646.46,0.0300
15,8,189,2,192.52,0.2000
16,8,263,2,261.31,0.0500
17,9,268,2,471.35,0.1000
18,10,217,2,1277.96,0.1000
19,10,146,1,15906.28,0.0300
20,11,40,4,1384.55,0.1500
21,12,83,2,1645.11,0.1500
22,13,286,5,67.96,0.0000
23,14,222,5,22.25,0.0500
24,14,147,2,1730.13,0.1000
25,15,59,3,58.95,0.0300
26,16,179,5,350.18,0.2000
27,17,97,1,5667.65,0.0300
28,18,131,2,1041.16,0.0500
29,18,202,4,2180.49,0.0000
30,18,226,3,13952.35,0.1000
31,18,61,5,107.94,0.1500
32,19,93,0,45.57,0.1000
33,19,217,5,1316.03,0.1500
34,20,173,5,218.04,0.1000
35,21,169,1,883.87,0.0300
36,22,53,2,826.90,0.2000
37,23,242,1,15376.45,0.0500
38,24,183,5,352.61,0.0000
39,24,42,3,2256.83,0.2000
40,25,166,3,647.05,0.0300
41,25,166,5,716.15,0.1500
42,25,229,4,349.05,0.2000
43,25,19,3,2142.21,0.2000
44,26,238,5,150.63,0.1500
45,27,197,1,908.60,0.0300
46,28,157,2,71.22,0.0000
47,28,203,1,140802.64,0.1500
48,28,99,1,1548.94,0.2000
49,29,284,4,108.94,0.0000
50,29,244,2,1677.09,0.0500
51,29,272,0,30.03,0.1500
52,30,227,2,2264.61,0.0300
53,31,280,3,449.41,0.0000
54,31,179,2,384.00,0.0300
55,32,9,4,355.35,0.0000
56,32,125,1,226.14,0.1500
57,33,213,2,681.02,0.1000
58,34,236,2,77.18,0.0500
59,35,236,3,76.14,0.0500
60,35,255,5,35.59,0.2000
61,35,90,3,-776.61,0.0500
62,36,54,5,720.01,0.0500
63,36,271,3,83.00,0.1000
64,37,72,3,324.87,0.2000
65,37,87,1,342.25,0.2000
66,38,133,3,1010.94,0.0300
67,38,61,1,105.66,0.2000
68,38,102,3,1172.71,0.1000
69,39,135,3,465.90,0.0500
70,39,44,3,400.06,0.0500
71,40,250,2,1338.10,0.0300
72,40,162,2,18344.64,0.2000
73,40,26,4,1034.98,0.0000
74,41,229,5,398.59,0.0300
75,41,102,4,1267.81,0.1500
76,42,262,1,820.00,0.0000
77,43,94,3,111.70,0.0000
78,43,146,3,16982.31,0.0300
79,43,153,2,1064.12,0.1000
80,44,215,1,114.43,0.2000
81,44,106,2,1671.47,0.0500
82,44,60,3,85.40,0.2000
83,45,131,4,1085.94,0.1000
84,46,247,2,304.59,0.1000
85,46,44,5,393.79,0.1500
86,47,233,3,259.83,0.0300
87,48,28,1,419.67,0.1000
88,48,241,1,5314.57,0.0300
89,49,43,5,82.22,0.0000
90,49,59,2,58.09,0.0300
91,49,21,5,125.89,0.0500
92,50,4,4,2417.73,0.2000
93,51,40,1,1365.65,0.0500
94,51,43,2,80.47,0.1500
95,51,67,2,1553.72,0.0300
96,52,136,2,406.28,0.0000
97,53,40,3,1377.19,0.2000
98,54,136,4,424.37,0.0500
99,55,266,5,2147.80,0.0500
100,56,276,2,4146.99,0.0000
101,56,235,3,185.24,0.1000
102,56,174,1,121.98,0.0300
103,57,72,4,340.42,0.0300
104,57,65,1,8473.95,0.2000
105,58,105,3,1278.67,0.1000
106,59,292,4,1328.66,0.2000
107,60,207,5,30.99,0.1500
108,61,220,5,220.69,0.2000
109,61,43,2,82.34,0.1000
110,61,169,1,152.28,0.0300
111,62,71,3,200.35,0.0500
112,62,148,4,844.12,0.1000
113,62,182,1,899.06,0.0500
114,62,19,3,2262.46,0.2000
115,63,64,5,31.27,0.1000
116,64,213,2,620.05,0.0300
117,65,95,2,65.59,0.1500
118,65,165,2,104.62,0.1000
119,66,158,5,32.07,0.0000
120,66,124,1,100.54,0.1500
121,66,26,2,967.94,0.0000
122,67,256,3,41.44,0.0300
