order_id,customer_id,order_date,order_status,total_amount
1,576,2026-04-28,completed,3529.35
2,135,2025-03-23,completed,1040.67
3,498,2026-04-25,completed,524.60
4,37,2026-04-21,completed,2611.56
5,214,2025-08-16,cancelled,0.00
6,580,2025-10-30,completed,6655.55
7,215,2025-03-21,completed,1214.34
8,135,2026-01-08,completed,6281.59
9,832,2026-03-19,completed,848.43
10,811,2025-12-30,completed,17729.42
11,955,2025-05-08,completed,4707.47
12,233,2025-01-08,pending,2796.69
13,679,2025-12-08,completed,339.80
14,883,2026-02-14,completed,3219.92
15,219,2025-09-03,completed,171.54
16,235,2025-07-09,completed,1400.72
17,850,2026-02-19,ok,5497.62
18,813,2026-03-01,pending,48830.25
19,665,2025-12-27,completed,5593.13
20,388,2025-12-06,done,981.18
21,104,2025-07-15,pending,857.35
22,305,2025-03-03,cancelled,0.00
23,925,2025-01-05,completed,14607.63
24,688,2026-07-04,cancelled,0.00
25,418,2025-02-24,cancelled,0.00
26,954,2026-04-25,completed,640.18
27,308,2026-04-01,completed,881.34
28,854,2025-05-10,completed,121063.84
29,408,2025-08-07,returned,3622.23
30,629,2025-09-12,completed,4393.34
31,241,2025-02-11,completed,2093.19
32,3,2025-08-24,completed,1613.62
33,421,2025-10-15,completed,1225.84
34,236,2025-11-01,cancelled,0.00
35,103,2026-01-21,completed,359.36
36,369,2025-10-25,returned,3644.15
37,188,2025-10-29,completed,1053.49
38,888,2025-01-17,completed,6192.68
39,569,2025-08-10,done,2467.99
40,306,2025-12-09,completed,36087.26
41,419,2025-02-04,completed,6243.72
42,332,2026-05-16,completed,820.00
43,646,2025-07-22,done,51669.04
44,990,2026-02-03,pending,3472.30
45,787,2025-04-29,cancelled,0.00
46,350,2026-03-13,pending,2221.87
47,156,2025-10-30,completed,756.11
48,532,2026-03-14,completed,5532.84
49,217,2025-05-20,completed,1121.77
50,266,2025-02-02,completed,7736.74
51,659,2025-09-28,completed,4448.38
52,179,2026-01-05,returned,812.56
53,524,2025-07-03,completed,3305.26
54,865,2025-07-07,completed,1612.61
55,405,2025-01-21,completed,10202.05
56,29,2025-03-20,completed,8912.45
57,757,2025-11-11,completed,8099.99
58,991,2026-03-17,done,3452.41
59,511,2025-07-20,completed,4251.71
60,897,2025-01-23,cancelled,0.00
61,574,2026-03-04,completed,1178.68
62,885,2025-11-23,completed,9893.84
63,582,2025-11-18,completed,140.72
64,216,2025-03-05,completed,1202.90
65,441,2025-08-08,Annulé,299.82
66,851,2026-04-12,completed,2181.69
67,996,2026-05-15,DONE,120.59
68,422,2025-05-24,cancelled,0.00
69,896,2025-06-07,completed,621.69
70,997,2025-08-31,completed,409941.10
71,389,2025-10-30,completed,1133.69
72,724,2026-03-29,completed,4430.48
73,899,2025-09-08,completed,3312.83
74,841,2026-02-06,completed,635.24
75,961,2025-08-23,completed,166.59
76,349,2026-02-28,completed,7173.26
77,228,2026-05-09,completed,7541.50
78,144,2025-09-28,cancelled,0.00
79,859,2025-10-31,completed,587.77
80,302,2026-02-08,completed,145.74
81,164,2026-01-02,completed,1789.34
82,227,2025-05-26,completed,417.18
83,590,2025-03-05,returned,7046.19
84,783,2026-01-13,completed,7638.06
85,252,2025-07-31,completed,914.07
86,392,2025-02-16,completed,280.44
87,769,2025-09-25,done,713.35
88,684,2025-04-05,returned,41783.67
89,789,2026-01-16,ok,151.66
90,577,2025-03-15,completed,501.48
91,413,2025-04-08,pending,844.52
92,235,2026-01-28,returned,685.94
93,86,2026-02-18,completed,1611.29
94,52,2026-02-11,completed,3681.09
95,524,2025-11-02,completed,3397.39
96,621,2025-01-30,pending,58708.90
97,968,2025-12-17,completed,3401.00
98,462,2026-02-15,completed,10362.75
99,904,2025-07-06,completed,5459.78
100,528,2025-08-04,done,2013.90
101,800,2025-04-06,done,1373.05
102,878,2025-01-14,completed,3949.56
103,595,2025-03-13,ok,76749.94
104,946,2026-04-04,completed,1096.54
105,4,2026-03-21,completed,5251.86
106,444,2025-04-01,completed,3880.94
107,433,2025-12-04,return,59565.27
108,81,2025-12-13,return,8483.15
109,117,2025-10-13,completed,257.05
110,102,2025-01-09,completed,11455.27
111,727,2026-03-08,completed,2633.80
112,489,2026-03-25,cancelled,0.00
113,767,2025-09-26,completed,3345.33
114,273,2026-01-03,done,4262.55
115,953,2025-01-07,done,844.08
116,505,2025-06-08,completed,581.44
117,835,2025-09-05,cancelled,0.00
118,79,2025-03-16,completed,6317.81
119,192,2025-06-03,cancelled,0.00
120,153,2025-05-14,pending,3988.75
121,327,2025-12-14,pending,53930.90
122,681,2025-03-01,completed,2367.29
123,813,2025-04-01,completed,1283.54
124,713,2025-12-12,completed,236.95
