product_id,product_name,category,sub_category,brand,supplier,price,created_at
1,DigiNord Smartphones 001,Electronics,Smartphones,AtlasTech,Atlas Wholesale,6708.52,2024-04-12
2,AtlasTech Laptops 002,Electronics,Laptops,CasaMobile,MediSupplier,7962.26,2025-10-03
3,MedConnect Headphones 003,Electronics,Headphones,AtlasTech,MediSupplier,605.67,2024-06-03
4,DigiNord Smart Watches 004,Electronics,Smart Watches,AtlasTech,Tanger Supply,2350.99,2024-04-13
5,DigiNord Accessories 005,Electronics,Accessories,DigiNord,Tanger Supply,222.95,2025-08-06
6,UrbanSouk Shoes 006,Fashion,Shoes,TanjaStyle,Atlas Wholesale,1513.27,2024-05-15
7,TanjaStyle T-Shirts 007,Fashion,T-Shirts,Nakhil,Tanger Supply,154.10,2025-11-25
8,MedinaWear Jackets 008,Fashion,Jackets,UrbanSouk,Atlas Wholesale,394.38,2024-08-18
9,Nakhil Bags 009,Fashion,Bags,Nakhil,Tanger Supply,333.03,2024-08-02
10,TanjaStyle Traditional Clothes 010,Fashion,Traditional Clothes,MedinaWear,Maroc Distribution,2168.74,2024-11-12
11,AtlasGourmet Dates 011,Food,Dates,SaharaTaste,Tanger Supply,133.94,2025-11-04
12,RifBio Olive Oil 012,Food,Olive Oil,AgriMaroc,Atlas Wholesale,312.49,2024-04-11
13,AgriMaroc Tea 013,Food,Tea,AgriMaroc,MediSupplier,55.27,2024-08-01
14,RifBio Spices 014,Food,Spices,AgriMaroc,Atlas Wholesale,65.83,2025-02-08
15,AtlasGourmet Biscuits 015,Food,Biscuits,AgriMaroc,Atlas Wholesale,79.83,2025-06-18
16,RifBio Canned Food 016,Food,Canned Food,AgriMaroc,Atlas Wholesale,46.23,2024-11-06
17,CasaMobile Smartphones 017,Electronics,Smartphones,DigiNord,Maroc Distribution,7643.66,2024-01-25
18,DigiNord Laptops 018,Electronics,Laptops,CasaMobile,Maroc Distribution,14761.09,2024-11-13
19,CasaMobile Headphones 019,Electronics,Headphones,AtlasTech,MediSupplier,2107.85,2024-03-13
20,MedConnect Smart Watches 020,Electronics,Smart Watches,AtlasTech,Tanger Supply,3480.12,2025-12-01
21,CasaMobile Accessories 021,Electronics,Accessories,CasaMobile,Tanger Supply,119.26,2024-06-29
22,UrbanSouk Shoes 022,Fashion,Shoes,UrbanSouk,Atlas Wholesale,849.00,2025-01-21
23,TanjaStyle T-Shirts 023,Fashion,T-Shirts,TanjaStyle,Atlas Wholesale,294.92,2024-06-30
24,TanjaStyle Jackets 024,Fashion,Jackets,MedinaWear,Maroc Distribution,855.13,2024-08-24
25,TanjaStyle Bags 025,Fashion,Bags,Nakhil,Maroc Distribution,1190.43,2024-02-04
26,TanjaStyle Traditional Clothes 026,Fashion,Traditional Clothes,Nakhil,Atlas Wholesale,961.38,2025-04-29
27,AtlasGourmet Dates 027,Food,Dates,SaharaTaste,Atlas Wholesale,75.50,2025-06-18
28,SaharaTaste Olive Oil 028,Food,Olive Oil,AtlasGourmet,Maroc Distribution,394.53,2024-10-13
29,AtlasGourmet Tea 029,Food,Tea,AtlasGourmet,Atlas Wholesale,39.43,2024-12-01
30,AgriMaroc Spices 030,Food,Spices,SaharaTaste,Atlas Wholesale,143.73,2025-06-08
31,SaharaTaste Biscuits 031,Food,Biscuits,RifBio,Atlas Wholesale,54.38,2024-06-15
32,AgriMaroc Canned Food 032,Food,Canned Food,AtlasGourmet,Maroc Distribution,36.54,2024-05-27
